name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
CMW Read,2000-2006,33,22,7,299,30*,74,0,0,3,England
PA Nixon,2007-2007,19,18,4,297,49,85.59,0,0,2,England
DA Reeve,1991-1996,28,21,9,291,35,74.8,0,0,0,England
D Lloyd,1973-1980,8,8,1,285,116*,54.18,1,0,0,England
VJ Marks,1980-1988,34,24,3,285,44,65.66,0,0,0,England
JL Denly,2009-2009,9,9,0,268,67,65.52,0,2,0,England
B Wood,1972-1982,11,10,1,267,78*,50.66,0,2,1,England
MH Denness,1973-1975,11,11,2,264,66,63.3,0,1,1,England
AW Greig,1972-1977,20,18,3,255,48,69.86,0,0,1,England
CT Radley,1978-1978,4,4,1,250,117*,68.11,1,1,0,England
AR Caddick,1993-2003,53,37,18,249,36,64.01,0,0,5,England
SM Davies,2009-2011,8,8,0,244,87,105.62,0,1,1,England
PR Downton,1977-1988,28,20,5,242,44*,67.59,0,0,2,England
JM Anderson,2002-2013,167,68,36,237,28,46.37,0,0,9,England
JP Crawley,1994-1999,13,12,1,235,73,57.59,0,2,2,England
P Mustard,2007-2008,10,10,0,233,83,92.46,0,1,0,England
AD Mascarenhas,2007-2009,19,12,2,222,52,90.98,0,1,2,England
JH Edrich,1971-1974,5,5,0,215,90,69.35,0,2,0,England
DL Bairstow,1979-1984,21,20,6,206,23*,52.82,0,0,1,England
BA Stokes,2011-2014,16,14,0,202,70,72.14,0,1,3,England
APE Knott,1971-1977,19,13,4,188,50,79.32,0,1,2,England
DG Cork,1992-2002,31,20,2,180,31*,66.66,0,0,4,England
MD Moxon,1985-1988,8,8,0,174,70,53.53,0,1,1,England
JE Morris,1990-1991,8,8,1,167,63*,74.22,0,1,0,England
MJ Lumb,2014-2014,3,3,0,165,106,81.28,1,0,0,England
MP Maynard,1994-2000,13,11,1,156,41,70.9,0,0,0,England
IJ Gould,1983-1983,18,14,2,155,42,63.78,0,0,2,England
CJ Richards,1981-1988,22,16,3,154,50,58.33,0,1,3,England
MW Alleyne,1999-2000,10,8,1,151,53,59.21,0,1,0,England
A McGrath,2003-2004,13,11,1,151,52,45.48,0,1,1,England
NA Foster,1984-1989,48,25,12,150,24,61.47,0,0,3,England
GD Barlow,1976-1977,6,6,1,149,80*,58.43,0,1,2,England
MB Loye,2007-2007,7,7,0,142,45,77.17,0,0,1,England
ARC Fraser,1989-1999,40,20,9,141,38*,67.78,0,0,1,England
VJ Wells,1999-1999,9,7,0,141,39,55.73,0,0,0,England
CR Woakes,2011-2013,12,10,4,141,36,73.43,0,0,1,England
MV Fleming,1997-1998,11,10,1,139,33,101.45,0,0,1,England
R Clarke,2003-2006,18,12,0,138,39,63.3,0,0,2,England
RJ Bailey,1985-1990,4,4,2,137,43*,69.89,0,0,0,England
G Miller,1977-1984,25,18,2,136,46,51.32,0,0,3,England
RJ Sidebottom,2001-2010,25,18,8,133,24,68.55,0,0,2,England
GS Ballance,2013-2014,5,5,0,132,79,69.84,0,1,1,England
GRJ Roope,1973-1978,7,7,0,129,37,53.97,0,0,1,England
TE Jesty,1983-1983,10,10,4,127,52*,69.78,0,1,2,England
JM Bairstow,2011-2012,7,6,1,119,41*,76.77,0,0,0,England
FC Hayes,1973-1975,5,5,1,119,52,56.66,0,1,0,England
JN Snape,2001-2002,10,7,3,118,38,68.2,0,0,0,England
PH Edmonds,1977-1987,28,18,7,116,20,50,0,0,3,England
GR Dilley,1979-1988,36,18,8,114,31*,85.71,0,0,2,England
DL Maddy,1998-2000,8,6,0,113,53,54.85,0,1,1,England
MM Ali,2014-2014,3,3,0,109,55,81.34,0,1,0,England
CL Smith,1984-1984,4,4,0,109,70,45.41,0,1,0,England
MA Carberry,2013-2013,4,4,0,107,63,63.31,0,1,0,England
SJ Rhodes,1989-1995,9,8,2,107,56,71.33,0,1,0,England
RW Taylor,1973-1984,25,16,6,107,26*,40.53,0,0,2,England
G Cook,1981-1983,6,6,0,106,32,40.61,0,0,0,England
TA Lloyd,1984-1984,3,3,0,101,49,44.29,0,0,0,England
DR Brown,1997-1998,9,8,4,99,21,69.23,0,0,0,England
BC Rose,1977-1977,2,2,0,99,54,47.14,0,1,0,England
GC Small,1987-1992,50,24,9,98,18*,52.12,0,0,6,England
MP Bicknell,1990-1991,7,6,2,96,31*,92.3,0,0,0,England
ST Finn,2011-2013,37,13,6,96,35,85.71,0,0,3,England
Kabir Ali,2005-2006,12,9,3,93,39*,86.11,0,0,2,England
SJ Harmison,2002-2009,55,25,14,91,18*,64.53,0,0,3,England
RM Ellison,1984-1986,14,12,4,86,24,78.18,0,0,0,England
AD Mullally,1996-2001,49,25,10,86,20,36.13,0,0,6,England
KJ Barnett,1988-1988,1,1,0,84,84,57.53,0,1,0,England
SI Mahmood,2004-2009,25,14,4,84,22*,89.36,0,0,3,England
NMK Smith,1996-1996,6,5,1,83,31,68.59,0,0,0,England
RGD Willis,1973-1984,64,22,14,83,24,52.86,0,0,4,England
CJ Adams,1998-2000,5,4,0,71,42,49.3,0,0,0,England
MJ Smith,1973-1974,5,5,0,70,31,44.02,0,0,1,England
RK Illingworth,1991-1996,25,11,5,68,14,57.14,0,0,0,England
JD Love,1981-1981,3,3,0,61,43,61,0,0,0,England
JA Jameson,1973-1975,3,3,0,60,28,37.97,0,0,0,England
AU Rashid,2009-2009,5,4,1,60,31*,111.11,0,0,0,England
JC Tredwell,2010-2014,29,15,8,59,16,47.2,0,0,2,England
RO Butcher,1980-1981,3,3,0,58,52,85.29,0,1,0,England
JK Lever,1976-1982,21,11,4,56,27*,36.84,0,0,1,England
RD Jackman,1974-1983,15,9,1,54,14,58.06,0,0,1,England
RWT Key,2003-2004,5,5,0,54,19,40,0,0,1,England
CS Cowdrey,1985-1985,3,3,1,51,46*,110.86,0,0,1,England
DL Underwood,1973-1982,25,12,4,51,17,41.46,0,0,2,England
J Lewis,2005-2007,13,8,2,50,17,79.36,0,0,0,England
CT Tremlett,2005-2011,15,11,4,50,19*,56.17,0,0,1,England
DB Close,1972-1972,3,3,0,49,43,98,0,0,0,England
GG Arnold,1972-1975,12,4,2,48,18*,65.75,0,0,0,England
JH Hampshire,1971-1972,3,3,1,48,25*,55.81,0,0,0,England
JJ Whitaker,1987-1987,2,2,1,48,44*,73.84,0,0,0,England
WN Slack,1986-1986,2,2,0,43,34,50.58,0,0,0,England
GB Stevenson,1980-1981,4,4,3,43,28*,76.78,0,0,0,England
JS Foster,2001-2002,11,6,3,41,13,57.74,0,0,0,England
GD Lloyd,1996-1998,6,5,1,39,22,48.75,0,0,2,England
A Shahzad,2010-2011,11,8,2,39,9,65,0,0,0,England
PJ Martin,1995-1998,19,13,7,38,6,71.69,0,0,0,England
JO Troughton,2003-2003,5,5,1,36,20,47.36,0,0,1,England
SD Udal,1994-2005,11,7,4,35,11*,76.08,0,0,1,England
ID Austin,1998-1999,9,6,1,34,11*,69.38,0,0,0,England
BN French,1985-1988,13,8,3,34,9*,47.88,0,0,2,England
