name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
APB Tennekoon,1975-1979,4,4,0,137,59,66.18,0,1,1,Sri Lanka
SRD Wettimuny,1975-1979,3,3,1,136,67,56.19,0,2,0,Sri Lanka
BAW Mendis,2008-2014,70,32,15,135,19*,68.52,0,0,7,Sri Lanka
CP Senanayake,1990-1991,7,7,0,126,27,59.71,0,0,1,Sri Lanka
HMRKB Herath,2004-2013,55,24,12,123,17*,68.33,0,0,2,Sri Lanka
ERNS Fernando,1983-1983,7,5,0,101,36,46.75,0,0,2,Sri Lanka
S Prasanna,2011-2013,12,10,2,101,42,81.45,0,0,2,Sri Lanka
DP Samaraweera,1993-1994,5,4,0,91,49,53.84,0,0,0,Sri Lanka
PB Dassanayake,1993-1994,16,10,2,85,20*,59.85,0,0,0,Sri Lanka
VB John,1982-1987,45,19,10,84,15,55.26,0,0,3,Sri Lanka
FDM Karunaratne,2011-2013,6,6,1,84,60,73.68,0,1,2,Sri Lanka
LHD Dilhara,2005-2013,9,9,0,83,29,77.57,0,0,1,Sri Lanka
PC de Silva,2014-2014,5,5,1,78,44,85.71,0,0,0,Sri Lanka
MH Tissera,1975-1975,3,3,0,78,52,53.06,0,1,0,Sri Lanka
KDK Vithanage,2013-2014,5,5,1,70,27,82.35,0,0,0,Sri Lanka
Y Goonasekera,1983-1983,3,3,0,69,35,66.34,0,0,0,Sri Lanka
KTGD Prasad,2006-2014,13,6,3,63,31*,76.82,0,0,0,Sri Lanka
SD Anurasiri,1986-1994,45,18,12,62,11,43.35,0,0,2,Sri Lanka
SK Ranasinghe,1986-1986,4,3,0,55,41,67.9,0,0,1,Sri Lanka
RAP Nissanka,2001-2003,23,13,5,53,11,37.85,0,0,2,Sri Lanka
D Ranatunga,1990-1990,4,4,0,49,25,31.41,0,0,1,Sri Lanka
KEA Upashantha,1995-2001,12,8,1,49,15,56.97,0,0,0,Sri Lanka
MG Vandort,2006-2006,1,1,0,48,48,41.02,0,0,0,Sri Lanka
ER Fernando,1975-1975,3,3,0,47,22,71.21,0,0,0,Sri Lanka
MDK Perera,2007-2008,4,4,0,44,30,57.14,0,0,0,Sri Lanka
KHRK Fernando,2002-2006,7,5,3,43,23*,59.72,0,0,0,Sri Lanka
KSC de Silva,1996-2000,38,19,13,39,13*,42.39,0,0,4,Sri Lanka
CKB Kulasekara,2011-2012,4,3,0,38,19,52.77,0,0,1,Sri Lanka
PW Gunaratne,2002-2003,23,8,3,36,15*,57.14,0,0,2,Sri Lanka
KR Pushpakumara,1994-1999,31,9,5,36,14*,69.23,0,0,2,Sri Lanka
SM Warnapura,2007-2008,3,3,0,35,30,46.05,0,0,1,Sri Lanka
SR Tendulkar,1989-2012,463,452,41,18426,200*,86.23,49,96,20,India
SC Ganguly,1992-2007,308,297,23,11221,183,73.65,22,71,16,India
R Dravid,1996-2011,340,314,39,10768,153,71.18,12,82,13,India
M Azharuddin,1985-2000,334,308,54,9378,153*,74.02,7,58,9,India
Yuvraj Singh,2000-2013,290,265,38,8237,139,86.98,13,51,18,India
V Sehwag,1999-2013,241,235,9,7995,219,104.44,15,37,14,India
MS Dhoni,2004-2014,240,211,62,7872,183*,88.67,8,54,7,India
V Kohli,2008-2014,134,126,18,5634,183,89.87,19,30,9,India
A Jadeja,1992-2000,196,179,36,5359,119,69.8,6,30,10,India
G Gambhir,2003-2013,147,143,11,5238,150*,85.25,11,34,11,India
SK Raina,2005-2014,189,162,32,4596,116*,91.35,3,29,11,India
NS Sidhu,1987-1998,136,127,8,4413,134*,69.72,6,33,7,India
K Srikkanth,1981-1992,146,145,4,4091,123,71.74,4,27,11,India
N Kapil Dev,1978-1994,225,198,39,3783,175*,95.07,1,14,13,India
DB Vengsarkar,1976-1991,129,120,19,3508,105,67.73,1,23,7,India
RG Sharma,2007-2014,123,117,21,3427,209,78.61,4,22,8,India
RJ Shastri,1981-1992,150,128,21,3108,109,61.07,4,18,5,India
SM Gavaskar,1974-1987,108,102,14,3092,103*,62.26,1,27,8,India
M Kaif,2002-2006,125,110,24,2753,111*,72.03,2,17,8,India
VG Kambli,1991-2000,104,97,21,2477,106,71.94,2,14,4,India
VVS Laxman,1998-2006,86,83,7,2338,131,71.23,6,10,3,India
RR Singh,1989-2001,136,113,23,2336,100,74.3,1,9,5,India
SV Manjrekar,1988-1996,74,70,10,1994,105,64.3,1,15,3,India
M Amarnath,1975-1989,85,75,12,1924,102*,57.7,2,13,2,India
M Prabhakar,1984-1996,130,98,21,1858,106,60.26,2,11,8,India
IK Pathan,2004-2012,120,87,21,1544,83,79.54,0,5,7,India
RA Jadeja,2009-2014,101,68,22,1541,78,82.98,0,9,5,India
S Dhawan,2010-2014,39,38,2,1504,119,89.52,5,7,2,India
KD Karthik,2004-2014,71,60,13,1313,79,73.22,0,7,4,India
NR Mongia,1994-2000,140,96,33,1272,69,68.9,0,2,4,India
AB Agarkar,1998-2007,191,113,26,1269,95,80.62,0,3,10,India
D Mongia,2001-2007,57,51,7,1230,159*,71.47,1,4,4,India
Harbhajan Singh,1998-2011,227,121,33,1166,49,80.19,0,0,15,India
SM Patil,1980-1986,45,42,1,1005,84,82.17,0,9,4,India
A Kumble,1990-2007,269,134,47,903,26,60.97,0,0,18,India
J Srinath,1991-2003,229,121,38,883,53,79.62,0,1,19,India
Yashpal Sharma,1978-1985,42,40,9,883,89,63.02,0,4,0,India
HK Badani,2000-2004,40,36,10,867,100,73.47,1,4,1,India
YK Pathan,2008-2012,57,41,11,810,123*,113.6,2,3,7,India
RV Uthappa,2006-2008,38,34,5,786,86,91.92,0,5,3,India
R Lamba,1986-1989,32,31,2,783,102,67.15,1,6,2,India
Z Khan,2000-2012,194,96,31,753,34*,72.33,0,0,14,India
PA Patel,2003-2012,38,34,3,736,95,76.5,0,4,2,India
AM Rahane,2011-2014,27,27,0,687,91,72.16,0,5,3,India
S Ramesh,1999-1999,24,24,1,646,82,59.15,0,6,3,India
RMH Binny,1980-1987,72,49,10,629,57,60.13,0,1,4,India
WV Raman,1988-1996,27,27,1,617,114,55.63,1,3,6,India
SB Joshi,1996-2001,69,45,11,584,61*,89.43,0,1,4,India
R Ashwin,2010-2014,79,46,12,583,65,89.96,0,1,4,India
KS More,1984-1993,94,65,22,563,42*,69.67,0,0,5,India
PK Amre,1991-1994,37,30,5,513,84*,64.2,0,2,1,India
AO Malhotra,1982-1986,20,19,4,457,65,70.85,0,1,0,India
C Sharma,1983-1994,65,35,16,456,101*,90.47,1,0,3,India
GR Viswanath,1974-1982,25,23,1,439,75,52.89,0,2,1,India
AK Sharma,1988-1993,31,27,6,424,59*,90.4,0,3,2,India
S Madan Lal,1974-1987,67,35,14,401,53*,62.17,0,1,1,India
SMH Kirmani,1976-1986,49,31,13,373,48*,60.55,0,0,2,India
SS Karim,1997-2000,34,27,4,362,55,64.64,0,1,2,India
HH Kanitkar,1997-2000,34,27,8,339,57,66.21,0,1,2,India
N Chopra,1998-2000,39,26,6,310,61,62.24,0,1,1,India
P Kumar,2007-2012,68,33,12,292,54*,88.21,0,1,2,India
CS Pandit,1986-1992,36,23,9,290,33*,72.5,0,0,2,India
RS Sodhi,2000-2002,18,14,3,280,67,73.49,0,2,0,India
KBJ Azad,1980-1986,25,21,2,269,39*,67.25,0,0,3,India
AD Gaekwad,1975-1987,15,14,1,269,78*,52.84,0,1,2,India
SS Dighe,2000-2001,23,17,6,256,94*,60.8,0,1,1,India
M Vijay,2010-2013,14,13,0,253,33,66.4,0,0,0,India
MK Tiwary,2008-2012,8,8,1,251,104*,77.46,1,1,0,India
BP Patel,1974-1979,10,9,1,243,82,60.9,0,1,0,India
AT Rayudu,2013-2014,10,8,2,243,63*,67.31,0,2,0,India
BKV Prasad,1994-2001,161,63,31,221,19,60.21,0,0,8,India
Y Venugopal Rao,2005-2006,16,11,2,218,61*,60.05,0,1,2,India
V Dahiya,2000-2001,19,15,2,216,51,80.89,0,1,2,India
V Rathour,1996-1997,7,7,0,193,54,58.3,0,2,0,India
SB Bangar,2002-2004,15,15,2,180,57*,75.31,0,1,3,India
SC Khanna,1979-1984,10,10,2,176,56,66.41,0,2,1,India
GAHM Parkar,1982-1984,10,10,1,165,42,49.69,0,0,0,India
RR Powar,2004-2007,31,19,5,163,54,62.69,0,1,0,India
AC Bedade,1994-1994,13,10,3,158,51,86.33,0,1,0,India
JJ Martin,1999-2001,10,8,1,158,39,47.73,0,0,1,India
CPS Chauhan,1978-1981,7,7,0,153,46,50.83,0,0,0,India
RS Gavaskar,2004-2004,11,10,2,151,54,64.52,0,1,0,India
AR Khurasiya,1999-2001,12,11,0,149,57,79.25,0,1,1,India
A Nehra,2001-2011,117,45,21,140,24,57.37,0,0,9,India
R Vijay Bharadwaj,1999-2002,10,9,4,136,41*,70.1,0,0,1,India
B Kumar,2012-2014,35,17,5,135,31,80.83,0,0,4,India
RK Chauhan,1993-1997,35,18,5,132,32,77.19,0,0,4,India
MSK Prasad,1998-1999,17,11,2,131,63,58.22,0,1,2,India
M Kartik,2002-2007,37,14,5,126,32*,70.78,0,0,1,India
J Arun Lal,1982-1989,13,13,0,122,51,52.58,0,1,4,India
L Balaji,2002-2009,30,16,6,120,21*,78.94,0,0,2,India
V Yadav,1992-1994,19,12,2,118,34*,101.72,0,0,2,India
Arshad Ayub,1987-1990,32,17,7,116,31*,71.6,0,0,1,India
GK Khoda,1998-1998,2,2,0,115,89,62.16,0,1,0,India
FM Engineer,1974-1975,5,4,1,114,54*,58.46,0,1,0,India
KD Ghavri,1975-1981,19,16,6,114,20,58.76,0,0,1,India
RP Singh,2005-2011,58,20,10,104,23,42.97,0,0,3,India
S Amarnath,1978-1978,3,3,0,100,62,84.03,0,1,0,India
S Abid Ali,1974-1975,5,3,0,93,70,70.45,0,1,0,India
A Ratra,2002-2002,12,8,1,90,30,70.86,0,0,0,India
VB Chandrasekhar,1988-1990,7,7,0,88,53,54.32,0,1,0,India
R Vinay Kumar,2010-2013,31,13,4,86,27*,58.9,0,0,2,India
S Sriram,2000-2004,8,7,1,81,57,60,0,1,1,India
Jai P Yadav,2002-2005,12,7,3,81,69,65.85,0,1,2,India
SK Sharma,1988-1990,23,12,4,80,28,59.25,0,0,2,India
S Badrinath,2008-2011,7,6,1,79,27*,45.93,0,0,0,India
MM Patel,2006-2011,70,27,16,74,15,66.07,0,0,4,India
AL Wadekar,1974-1974,2,2,0,73,67,81.11,0,1,0,India
I Sharma,2007-2014,72,27,13,72,13,36,0,0,4,India
S Viswanath,1985-1988,22,12,4,72,23*,51.79,0,0,0,India
JV Paranjpe,1998-1998,4,4,1,54,27,59.34,0,0,0,India
S Venkataraghavan,1974-1983,15,9,4,54,26*,42.85,0,0,2,India
Mohammed Shami,2013-2014,29,12,6,53,14*,77.94,0,0,3,India
D Dasgupta,2001-2001,5,4,1,51,24*,62.19,0,0,1,India
A Mithun,2010-2011,5,3,0,51,24,92.72,0,0,0,India
BS Sandhu,1982-1984,22,7,3,51,16*,52.57,0,0,2,India
ST Banerjee,1991-1992,6,5,3,49,25*,116.66,0,0,0,India
DJ Gandhi,1999-2000,3,3,0,49,30,50.51,0,0,0,India
Maninder Singh,1983-1993,59,18,14,49,8*,54.44,0,0,1,India
SS Tiwary,2010-2010,3,2,2,49,37*,87.5,0,0,0,India
Sarandeep Singh,2002-2003,5,4,1,47,19,64.38,0,0,0,India
PP Ojha,2008-2012,18,10,8,46,16*,41.07,0,0,0,India
AV Mankad,1974-1974,1,1,0,44,44,72.13,0,0,0,India
S Sreesanth,2005-2011,53,21,10,44,10*,36.36,0,0,3,India
AR Kapoor,1995-2000,17,6,0,43,19,68.25,0,0,3,India
SS Das,2001-2002,4,4,1,39,30,50.64,0,0,0,India
PP Chawla,2007-2011,25,12,5,38,13*,65.51,0,0,1,India
SS Naik,1974-1974,2,2,0,38,20,55.88,0,0,0,India
Joginder Sharma,2004-2007,4,3,2,35,29*,116.66,0,0,0,India
SA Ankola,1989-1997,20,13,4,34,9,80.95,0,0,5,India
RR Kulkarni,1983-1987,10,5,3,33,15,84.61,0,0,0,India
AS Wassan,1990-1991,9,6,2,33,16,58.92,0,0,1,India
SLV Raju,1990-1996,53,16,8,32,8,47.76,0,0,4,India
BS Bedi,1974-1979,10,7,2,31,13,44.28,0,0,1,India
DS Mohanty,1997-2001,45,11,6,28,18*,49.12,0,0,3,India
ED Solkar,1974-1976,7,6,0,27,13,34.17,0,0,1,India
UT Yadav,2010-2013,28,10,8,27,11*,57.44,0,0,1,India
A Kuruvilla,1997-1997,25,11,4,26,7,60.46,0,0,1,India
SV Bahutule,1997-2003,8,4,1,23,11,79.31,0,0,0,India
V Razdan,1989-1990,3,3,1,23,18,85.18,0,0,0,India
B Arun,1986-1987,4,3,1,21,8,65.62,0,0,0,India
AB Dinda,2010-2013,13,5,0,21,16,58.33,0,0,2,India
PH Sharma,1976-1976,2,2,0,20,14,51.28,0,0,0,India
T Kumaran,1999-2000,8,3,0,19,8,70.37,0,0,0,India
LR Shukla,1999-1999,3,2,0,18,13,94.73,0,0,0,India
S Somasunder,1996-1996,2,2,0,16,9,25.39,0,0,0,India
A Mishra,2003-2014,23,5,2,15,9,57.69,0,0,2,India
PS Vaidya,1995-1996,4,2,0,15,12,125,0,0,0,India
GK Bose,1974-1974,1,1,0,13,13,72.22,0,0,0,India
CA Pujara,2013-2013,2,2,0,13,13,46.42,0,0,1,India
BS Chandrasekhar,1976-1976,1,1,1,11,11*,84.61,0,0,0,India
NM Kulkarni,1997-1998,10,5,3,11,5*,55,0,0,1,India
B Reddy,1978-1981,3,2,2,11,8*,55,0,0,0,India
G Sharma,1985-1987,11,2,0,11,7,45.83,0,0,0,India
W Jaffer,2006-2006,2,2,0,10,10,43.47,0,0,1,India
AV Kale,2003-2003,1,1,0,10,10,45.45,0,0,0,India
TE Srinivasan,1980-1981,2,2,0,10,6,28.57,0,0,0,India
NA David,1997-1997,4,2,2,9,8*,90,0,0,0,India
DR Doshi,1980-1982,15,5,2,9,5*,45,0,0,2,India
LS Rajput,1985-1987,4,4,1,9,8,29.03,0,0,2,India
VR Aaron,2011-2014,8,3,2,8,6*,53.33,0,0,1,India
P Dharmani,1996-1996,1,1,0,8,8,100,0,0,0,India
ND Hirwani,1988-1992,18,7,3,8,4,27.58,0,0,2,India
SS Raul,1998-1998,2,2,0,8,8,57.14,0,0,1,India
RL Sanghvi,1998-1998,10,2,0,8,8,72.72,0,0,1,India
VRV Singh,2006-2006,2,1,0,8,8,61.53,0,0,0,India
PL Mhambrey,1996-1998,3,1,1,7,7*,140,0,0,0,India
T Yohannan,2002-2002,3,2,2,7,5*,63.63,0,0,0,India
Bhupinder Singh snr,1994-1994,2,1,0,6,6,46.15,0,0,0,India
U Chatterjee,1995-1995,3,2,1,6,3*,20,0,0,0,India
Harvinder Singh,1997-2001,16,5,1,6,3*,31.57,0,0,1,India
P Krishnamurthy,1976-1976,1,1,0,6,6,46.15,0,0,0,India
AK Patel,1984-1985,8,2,0,6,6,54.54,0,0,1,India
L Sivaramakrishnan,1985-1987,16,4,2,5,2*,20.83,0,0,0,India
D Ganesh,1997-1997,1,1,0,4,4,50,0,0,0,India
Gursharan Singh,1990-1990,1,1,0,4,4,40,0,0,0,India
GK Pandey,1999-1999,2,2,1,4,4*,36.36,0,0,1,India
WP Saha,2010-2010,3,1,0,4,4,80,0,0,0,India
AM Salvi,2003-2003,4,3,1,4,4*,28.57,0,0,2,India
R Sudhakar Rao,1976-1976,1,1,0,4,4,28.57,0,0,0,India
SV Nayak,1981-1982,4,1,0,3,3,15.78,0,0,0,India
Pankaj Singh,2010-2010,1,1,1,3,3*,100,0,0,0,India
SP Mukherjee,1990-1991,3,1,1,2,2*,100,0,0,0,India
RS Ghai,1984-1986,6,1,0,1,1,33.33,0,0,0,India
NV Ojha,2010-2010,1,1,0,1,1,14.28,0,0,0,India
R Sharma,2011-2012,4,1,0,1,1,50,0,0,0,India
S Tyagi,2009-2010,4,1,1,1,1*,50,0,0,0,India
NS Yadav,1986-1987,7,2,2,1,1*,6.25,0,0,0,India
B Yograj Singh,1980-1981,6,4,2,1,1,8.33,0,0,1,India
A Bhandari,2000-2004,2,1,1,0,0*,0,0,0,0,India
STR Binny,2014-2014,2,1,0,0,0,0,0,0,1,India
AM Nayar,2009-2009,3,1,1,0,0*,0,0,0,0,India
MM Sharma,2013-2013,5,1,1,0,0*,0,0,0,0,India
M Venkataramana,1988-1988,1,1,1,0,0*,0,0,0,0,India
MS Gony,2008-2008,2,0,0,0,0,0,0,0,0,India
RGM Patel,1988-1988,1,0,0,0,0,0,0,0,0,India
Randhir Singh,1981-1983,2,0,0,0,0,0,0,0,0,India
TAP Sekhar,1983-1985,4,0,0,0,0,0,0,0,0,India
RP Singh,1986-1986,2,0,0,0,0,0,0,0,0,India
JD Unadkat,2013-2013,7,0,0,0,0,0,0,0,0,India
JH Kallis,1996-2013,320,306,53,11545,139,73.19,17,86,16,South Africa
HH Gibbs,1996-2010,248,240,16,8094,175,83.26,21,37,22,South Africa
GC Smith,2002-2013,196,193,10,6989,141,80.86,10,47,7,South Africa
G Kirsten,1993-2003,185,185,19,6798,188*,72.04,13,45,11,South Africa
AB de Villiers,2005-2013,154,148,25,6181,146,93.92,16,35,6,South Africa
JN Rhodes,1992-2003,245,220,51,5935,121,80.9,2,33,12,South Africa
WJ Cronje,1992-2000,188,175,31,5565,112,76.47,2,39,8,South Africa
MV Boucher,1998-2011,290,216,57,4523,147*,84.66,1,25,16,South Africa
HM Amla,2008-2013,85,82,6,4054,150,90.14,12,23,2,South Africa
DJ Cullinan,1993-2000,138,133,16,3860,124,70.28,3,23,10,South Africa
L Klusener,1996-2004,171,137,50,3576,103*,89.91,2,19,13,South Africa
HH Dippenaar,1999-2006,101,89,14,3300,125*,67.52,4,25,3,South Africa
JP Duminy,2004-2013,115,106,23,3260,150*,83.58,3,18,7,South Africa
SM Pollock,1996-2008,294,196,70,3193,90,85.55,0,13,20,South Africa
AC Hudson,1991-1997,89,88,1,2559,161,64.62,2,18,6,South Africa
ND McKenzie,2000-2009,64,55,10,1688,131*,69.4,2,10,2,South Africa
KC Wessels,1991-1994,55,54,4,1627,90,51.76,0,12,0,South Africa
N Boje,1995-2005,113,69,18,1410,129,89.29,2,4,2,South Africa
JM Kemp,2001-2007,79,60,18,1371,100*,82.78,1,9,5,South Africa
PN Kirsten,1991-1994,40,40,6,1293,97,56.02,0,9,0,South Africa
JA Rudolph,2003-2006,43,37,6,1157,81,68.66,0,7,0,South Africa
F du Plessis,2011-2013,47,45,5,1102,72,83.54,0,7,0,South Africa
AG Prince,2002-2007,49,38,11,940,89*,68.01,0,2,2,South Africa
AJ Hall,1999-2007,88,56,13,905,81,75.04,0,3,5,South Africa
DJ Richardson,1991-1998,122,77,33,868,53,66.87,0,1,6,South Africa
CA Ingram,2010-2013,31,29,3,843,124,82.32,3,3,5,South Africa
BM McMillan,1991-1998,78,52,16,841,127,73.32,1,0,3,South Africa
DA Miller,2010-2013,40,37,11,811,85*,96.89,0,6,4,South Africa
JA Morkel,2004-2012,56,41,10,760,97,101.33,0,2,1,South Africa
Q de Kock,2013-2013,16,16,0,741,135,86.56,4,0,0,South Africa
PL Symcox,1993-1999,80,54,13,694,61,83.61,0,3,6,South Africa
J Botha,2005-2012,76,48,17,578,46,83.4,0,0,2,South Africa
MJR Rindel,1994-1999,22,22,1,575,106,66.86,1,2,1,South Africa
RJ Peterson,2002-2013,77,40,14,545,68,80.62,0,1,4,South Africa
AP Kuiper,1991-1996,25,23,7,539,63*,81.41,0,3,0,South Africa
AN Petersen,2006-2013,21,19,1,504,80,82.62,0,4,0,South Africa
DJ Callaghan,1992-2000,29,25,6,493,169*,67.9,1,0,2,South Africa
R McLaren,2009-2013,40,32,12,410,71*,74.41,0,1,2,South Africa
MN van Wyk,2003-2011,13,13,1,331,82,70.87,0,3,2,South Africa
RP Snell,1991-1996,42,28,8,322,63,97.57,0,2,1,South Africa
DM Benkenstein,1998-2002,23,20,3,305,69,65.87,0,1,3,South Africa
LE Bosman,2006-2010,13,11,0,299,88,102.04,0,2,2,South Africa
DN Crookes,1994-2000,32,23,3,296,54,71.84,0,1,3,South Africa
WD Parnell,2009-2013,33,18,5,283,56,79.49,0,1,1,South Africa
AM Bacher,1997-2005,13,13,0,270,56,57.56,0,1,0,South Africa
EO Simons,1994-1995,23,18,4,217,24,73.55,0,0,1,South Africa
M Ntini,1998-2009,172,46,23,199,42*,66.77,0,0,9,South Africa
JL Ontong,2001-2012,27,15,2,184,32,69.43,0,0,0,South Africa
F Behardien,2013-2013,11,10,2,172,58,78.89,0,1,1,South Africa
DW Steyn,2006-2013,77,29,7,172,35,66.4,0,0,6,South Africa
PS de Villiers,1992-1997,83,36,15,170,20*,77.98,0,0,7,South Africa
M Morkel,2007-2013,70,28,8,148,23*,75.12,0,0,6,South Africa
CR Matthews,1991-1997,56,22,9,141,26,69.8,0,0,3,South Africa
A Nel,2001-2008,79,22,12,127,30*,76.5,0,0,2,South Africa
M van Jaarsveld,2002-2004,11,7,1,124,45,73.37,0,0,1,South Africa
RK Kleinveldt,2013-2013,10,7,0,105,43,84.67,0,0,1,South Africa
VD Philander,2007-2013,13,9,4,103,23,85.83,0,0,1,South Africa
S Elworthy,1998-2002,39,16,8,100,23,62.5,0,0,3,South Africa
AA Donald,1991-2003,164,40,18,95,13,34.05,0,0,12,South Africa
GFJ Liebenberg,1995-1998,4,4,0,94,39,47.23,0,0,0,South Africa
D Elgar,2012-2012,5,4,0,93,42,58.86,0,0,0,South Africa
JJ van der Wath,2006-2007,10,8,2,89,37*,127.14,0,0,3,South Africa
GH Bodi,2007-2007,2,2,0,83,51,62.87,0,1,0,South Africa
LJ Koen,1997-2000,5,5,0,82,28,48.52,0,0,1,South Africa
MW Rushmere,1992-1992,4,4,0,78,35,44.82,0,0,0,South Africa
CK Langeveldt,2001-2010,72,21,10,73,12,58.87,0,0,1,South Africa
R Telemachus,1998-2006,37,15,3,73,29,77.65,0,0,2,South Africa
AC Dawson,1998-2004,19,7,4,69,23*,102.98,0,0,0,South Africa
SJ Cook,1991-1993,4,4,0,67,35,56.77,0,0,1,South Africa
PR Adams,1996-2003,24,9,5,66,33*,53.22,0,0,2,South Africa
ELR Stewart,1993-2002,6,6,2,61,23*,52.58,0,0,0,South Africa
LL Tsotsobe,2009-2013,61,21,13,56,16*,51.37,0,0,3,South Africa
SJ Palframan,1996-1996,7,4,0,55,28,68.75,0,0,0,South Africa
MW Pringle,1992-1994,17,8,3,48,13*,85.71,0,0,1,South Africa
PC Strydom,2000-2000,10,8,3,48,34,51.06,0,0,1,South Africa
RE van der Merwe,2009-2010,13,7,3,39,12,95.12,0,0,1,South Africa
RE Bryson,1997-1997,7,4,3,32,17*,128,0,0,0,South Africa
M Yachad,1991-1991,1,1,0,31,31,40.25,0,0,0,South Africa
AM Phangiso,2013-2013,5,4,1,27,18*,57.44,0,0,2,South Africa
CEB Rice,1991-1991,3,2,0,26,14,70.27,0,0,0,South Africa
TG Shaw,1991-1994,9,6,4,26,17*,74.28,0,0,1,South Africa
N Pothas,2000-2000,3,1,0,24,24,58.53,0,0,0,South Africa
J Louw,2008-2008,3,1,0,23,23,328.57,0,0,0,South Africa
O Henry,1992-1992,3,3,1,20,11,76.92,0,0,0,South Africa
S Abrahams,2000-2000,1,1,1,16,16*,61.53,0,0,0,South Africa
CH Morris,2013-2013,5,3,1,13,9*,52,0,0,0,South Africa
M Hayward,1998-2002,21,5,1,12,4,42.85,0,0,1,South Africa
VB van Jaarsveld,2009-2009,2,2,0,9,5,60,0,0,0,South Africa
H Davids,2013-2013,2,2,0,8,7,33.33,0,0,0,South Africa
HS Williams,1999-2000,7,2,1,8,7,72.72,0,0,0,South Africa
SD Jack,1994-1995,2,2,0,7,6,87.5,0,0,0,South Africa
CE Eksteen,1991-1994,6,2,2,6,6*,24,0,0,0,South Africa
DB Rundle,1994-1994,2,2,0,6,6,54.54,0,0,1,South Africa
KJ Abbott,2013-2013,2,1,0,5,5,125,0,0,0,South Africa
Imran Tahir,2011-2013,13,5,3,5,3,29.41,0,0,0,South Africa
DJ Terbrugge,2000-2000,4,2,1,5,5,35.71,0,0,0,South Africa
J Theron,2010-2010,4,1,0,5,5,100,0,0,0,South Africa
PJR Steyn,1995-1995,1,1,0,4,4,28.57,0,0,0,South Africa
M Zondeki,2002-2008,11,2,2,4,3*,133.33,0,0,0,South Africa
CJPG van Zyl,1992-1992,2,2,1,3,3*,27.27,0,0,1,South Africa
MS Tshabalala,2007-2007,4,1,1,2,2*,66.66,0,0,0,South Africa
PV Mpitsang,1999-1999,2,1,1,1,1*,100,0,0,0,South Africa
GJP Kruger,2006-2006,3,2,1,0,0*,0,0,0,1,South Africa
AG Puttick,2005-2005,1,1,0,0,0,0,0,0,1,South Africa
CM Willoughby,2000-2003,3,2,0,0,0,0,0,0,2,South Africa
T Bosch,1992-1992,2,0,0,0,0,0,0,0,0,South Africa
M de Lange,2012-2012,1,0,0,0,0,0,0,0,0,South Africa
PL Harris,2008-2008,3,0,0,0,0,0,0,0,0,South Africa
CW Henderson,2001-2001,4,0,0,0,0,0,0,0,0,South Africa
JC Kent,2002-2002,2,0,0,0,0,0,0,0,0,South Africa
BN Schultz,1992-1992,1,0,0,0,0,0,0,0,0,South Africa
RT Ponting,1995-2012,374,364,39,13589,164,80.19,29,82,20,Australia
AC Gilchrist,1996-2008,286,278,11,9595,172,96.89,16,55,19,Australia
ME Waugh,1988-2002,244,236,20,8500,173,76.9,18,50,16,Australia
MJ Clarke,2003-2014,236,215,43,7683,130,78.76,8,55,10,Australia
SR Waugh,1986-2002,325,288,58,7569,120*,75.91,3,45,15,Australia
MG Bevan,1994-2004,232,196,67,6912,108*,74.16,6,46,5,Australia
AR Border,1979-1994,273,252,39,6524,127*,71.42,3,39,11,Australia
ML Hayden,1993-2008,160,154,15,6131,181*,78.98,10,36,9,Australia
DM Jones,1984-1994,164,161,25,6068,145,72.56,7,46,6,Australia
DC Boon,1984-1995,181,177,16,5964,122,65.13,5,37,6,Australia
MEK Hussey,2004-2012,185,157,44,5442,109*,87.16,3,39,3,Australia
DR Martyn,1992-2006,208,182,51,5346,144*,77.73,5,37,10,Australia
SR Watson,2002-2014,173,152,24,5256,185*,90.2,9,30,11,Australia
A Symonds,1998-2009,198,161,33,5088,156,92.44,6,30,15,Australia
GR Marsh,1986-1992,117,115,6,4357,126*,55.93,9,22,4,Australia
MA Taylor,1989-1997,113,110,1,3514,105,59.46,1,28,4,Australia
DS Lehmann,1996-2005,117,101,22,3078,119,81.34,4,17,4,Australia
BJ Haddin,2001-2014,105,98,11,2753,110,82.27,2,16,2,Australia
GS Chappell,1971-1983,74,72,14,2331,138*,75.7,3,14,7,Australia
GM Wood,1978-1989,83,77,11,2219,114*,59.57,3,11,4,Australia
CL White,2005-2011,87,73,15,2037,105,80.48,2,11,3,Australia
KJ Hughes,1977-1985,97,88,6,1968,98,67.42,0,17,12,Australia
DJ Hussey,2008-2013,69,61,6,1796,111,90.7,1,14,4,Australia
IA Healy,1988-1997,168,120,36,1764,56,83.84,0,4,9,Australia
KC Wessels,1983-1985,54,51,3,1740,107,59.08,1,14,0,Australia
SE Marsh,2008-2014,45,44,2,1667,151,77.03,3,10,3,Australia
GJ Bailey,2012-2014,39,37,6,1647,156,91.39,2,12,1,Australia
JR Hopes,2005-2010,84,61,8,1326,63*,93.71,0,3,1,Australia
SM Katich,2001-2006,45,42,5,1324,107*,68.74,1,9,3,Australia
DA Warner,2009-2014,42,41,0,1287,163,82.39,2,8,1,Australia
SP O'Donnell,1985-1991,87,64,15,1242,74*,80.96,0,9,5,Australia
